"ga:nextPagePath";"ga:landingPagePath";"ga:pageviews";"ga:timeOnPage";
"http://sstu.ru/abiturientu/dni-otkrytykh-dverey.php?back_url_admin=/bitrix/admin/iblock_element_admin.php?IBLOCK_ID=20&type=www&lang=ru&find_section_section=102&bitrix_include_areas=N";"http://sstu.ru/";"1";"6.0";
"http://sstu.ru/abiturientu/dni-otkrytykh-dverey.php?clear_cache=Y";"http://sstu.ru/";"5";"1066.0";
"http://sstu.ru/abiturientu/dni-otkrytykh-dverey.php?sphrase_id=41681";"http://sstu.ru/";"1";"8.0";
"http://sstu.ru/abiturientu/dni-otkrytykh-dverey.php?sphrase_id=44753";"http://sstu.ru/";"1";"5.0";
"http://sstu.ru/abiturientu/dni-otkrytykh-dverey.php?sphrase_id=54895";"http://sstu.ru/";"1";"86.0";
"http://sstu.ru/abiturientu/dni-otkrytykh-dverey.php?sphrase_id=67435";"http://sstu.ru/";"1";"87.0";
"http://sstu.ru/abiturientu/eg";"http://sstu.ru/";"1041";"72303.0";
"http://sstu.ru/abiturientu/grafik-raboty-priemnoy-komissii-sgt";"http://sstu.ru/";"496";"28286.0";
"http://sstu.ru/abiturientu/grafik-raboty-priemnoy-komissii-sgtu/index.php?sphrase_id=28695";"http://sstu.ru/";"1";"35.0";
"http://sstu.ru/abiturientu/grafik-raboty-priemnoy-komissii-sgtu/index.php?sphrase_id=36369";"http://sstu.ru/";"1";"86.0";
"http://sstu.ru/abiturientu/grafik-raboty-priemnoy-komissii-sgtu/index.php?sphrase_id=49235";"http://sstu.ru/";"1";"404.0";
"http://sstu.ru/abiturientu/grafik-raboty-priemnoy-komissii-sgtu/index.php?sphrase_id=55677";"http://sstu.ru/";"1";"14.0";
"http://sstu.ru/abiturientu/index.php?sphrase_id=62606";"http://sstu.ru/";"1";"51.0";
"http://sstu.ru/abiturientu/index.php?sphrase_id=64958";"http://sstu.ru/";"1";"32.0";
"http://sstu.ru/abiturientu/index.php?sphrase_id=70534";"http://sstu.ru/";"1";"60.0";
"http://sstu.ru/abiturientu/innovatsionnye-tekhnologii-v-obrazovatelnogo-protsessa.php?sphrase_id=71693";"http://sstu.ru/";"1";"7.0";
"http://sstu.ru/abiturientu/nauchno-populyarnye-lektsii-dlya-shkolniko";"http://sstu.ru/";"180";"8777.0";
"http://sstu.ru/abiturientu/obrashchenie-rektora-sgtu-k-abiturienta";"http://sstu.ru/";"294";"14042.0";
"http://sstu.ru/abiturientu/olimpiady-i-konferentsii.php";"http://sstu.ru/";"1065";"95849.0";
"http://sstu.ru/abiturientu/olimpiady-i-konferentsii.php?clear_cache=Y";"http://sstu.ru/";"29";"4094.0";
"http://sstu.ru/abiturientu/olimpiady-i-konferentsii.php?sphrase_id=30614";"http://sstu.ru/";"1";"5.0";
"http://sstu.ru/abiturientu/olimpiady-i-konferentsii.php?sphrase_id=34992";"http://sstu.ru/";"2";"289.0";
"http://sstu.ru/abiturientu/olimpiady-i-konferentsii.php?sphrase_id=36459";"http://sstu.ru/";"1";"8.0";
"http://sstu.ru/abiturientu/olimpiady-i-konferentsii.php?sphrase_id=40731";"http://sstu.ru/";"1";"46.0";
"http://sstu.ru/abiturientu/olimpiady-i-konferentsii.php?sphrase_id=43790";"http://sstu.ru/";"1";"107.0";
"http://sstu.ru/abiturientu/olimpiady-i-konferentsii.php?sphrase_id=48157";"http://sstu.ru/";"1";"115.0";
"http://sstu.ru/abiturientu/olimpiady-i-konferentsii.php?sphrase_id=48689";"http://sstu.ru/";"1";"29.0";
"http://sstu.ru/abiturientu/olimpiady-i-konferentsii.php?sphrase_id=54586";"http://sstu.ru/";"1";"4.0";
"http://sstu.ru/abiturientu/olimpiady-i-konferentsii.php?sphrase_id=59375";"http://sstu.ru/";"1";"13.0";
"http://sstu.ru/abiturientu/olimpiady-i-konferentsii.php?sphrase_id=60147";"http://sstu.ru/";"2";"152.0";
"http://sstu.ru/abiturientu/olimpiady-i-konferentsii.php?sphrase_id=60406";"http://sstu.ru/";"1";"96.0";
"http://sstu.ru/abiturientu/olimpiady-i-konferentsii.php?sphrase_id=60407";"http://sstu.ru/";"5";"679.0";
"http://sstu.ru/abiturientu/olimpiady-i-konferentsii.php?sphrase_id=60667";"http://sstu.ru/";"1";"728.0";
"http://sstu.ru/abiturientu/olimpiady-i-konferentsii.php?sphrase_id=60969";"http://sstu.ru/";"1";"469.0";
"http://sstu.ru/abiturientu/olimpiady-i-konferentsii.php?sphrase_id=61156";"http://sstu.ru/";"1";"92.0";
"http://sstu.ru/abiturientu/olimpiady-i-konferentsii.php?sphrase_id=64103";"http://sstu.ru/";"2";"39.0";
"http://sstu.ru/abiturientu/olimpiady-i-konferentsii.php?sphrase_id=67477";"http://sstu.ru/";"2";"356.0";
"http://sstu.ru/abiturientu/olimpiady-i-konferentsii.php?sphrase_id=68132";"http://sstu.ru/";"2";"96.0";
"http://sstu.ru/abiturientu/olimpiady-i-konferentsii.php?sphrase_id=68280";"http://sstu.ru/";"1";"18.0";
"http://sstu.ru/abiturientu/olimpiady-i-konferentsii.php?sphrase_id=69683";"http://sstu.ru/";"1";"297.0";
"http://sstu.ru/abiturientu/olimpiady-i-konferentsii.php?sphrase_id=69684";"http://sstu.ru/";"2";"119.0";
"http://sstu.ru/abiturientu/olimpiady-i-konferentsii.php?sphrase_id=69695";"http://sstu.ru/";"1";"93.0";
"http://sstu.ru/abiturientu/skhema-proezda-do-tsentralnoy-priemnoy-komissii.php";"http://sstu.ru/";"146";"12706.0";
"http://sstu.ru/abiturientu/skhema-proezda-do-tsentralnoy-priemnoy-komissii.php?sphrase_id=62026";"http://sstu.ru/";"1";"2.0";
"http://sstu.ru/abiturientu/spo-podgot-kvalif-rabochikh-i-sluzhashchik";"http://sstu.ru/";"74";"549.0";
"http://sstu.ru/abiturientu/spo-podgot-kvalif-rabochikh-i-sluzhashchikh/201";"http://sstu.ru/";"4";"353.0";
"http://sstu.ru/abiturientu/spo-podgot-kvalif-rabochikh-i-sluzhashchikh/201";"http://sstu.ru/";"4";"91.0";
"http://sstu.ru/abiturientu/spo-podgot-kvalif-rabochikh-i-sluzhashchikh/201";"http://sstu.ru/";"5";"79.0";
"http://sstu.ru/abiturientu/spo-podgot-kvalif-rabochikh-i-sluzhashchikh/2012/?clear_cache=Y";"http://sstu.ru/";"2";"94.0";
"http://sstu.ru/abiturientu/spo-podgot-kvalif-rabochikh-i-sluzhashchikh/201";"http://sstu.ru/";"9";"277.0";
"http://sstu.ru/abiturientu/spo-podgot-kvalif-rabochikh-i-sluzhashchikh/2013/?clear_cache=Y";"http://sstu.ru/";"1";"45.0";
